"assocID","date","WOY","Month","ReqPer","assigned","Team","ProgramName"
1,2019-12-23,51,"12_December",1,1,"Non Financial Divorce","NF_Div"
5,2019-12-24,52,"12_December",1,1,"Non Financial Divorce","NF_Div"
3,2019-12-26,52,"12_December",1,1,"Non Financial Divorce","NF_Div"
2,2019-12-27,52,"12_December",1,1,"Non Financial Divorce","NF_Div"
4,2019-12-30,52,"12_December",1,1,"Non Financial Divorce","NF_Div"
1,2019-12-31,53,"12_December",1,1,"Non Financial Divorce","NF_Div"
5,2020-01-02,1,"1_January",1,1,"Non Financial Divorce","NF_Div"
3,2020-01-03,1,"1_January",1,1,"Non Financial Divorce","NF_Div"
2,2020-01-06,1,"1_January",1,1,"Non Financial Divorce","NF_Div"
4,2020-01-07,1,"1_January",1,1,"Non Financial Divorce","NF_Div"
1,2020-01-08,2,"1_January",1,1,"Non Financial Divorce","NF_Div"
5,2020-01-09,2,"1_January",1,1,"Non Financial Divorce","NF_Div"
3,2020-01-10,2,"1_January",1,1,"Non Financial Divorce","NF_Div"
2,2020-01-13,2,"1_January",1,1,"Non Financial Divorce","NF_Div"
4,2020-01-14,2,"1_January",1,1,"Non Financial Divorce","NF_Div"
1,2020-01-15,3,"1_January",1,1,"Non Financial Divorce","NF_Div"
5,2020-01-16,3,"1_January",1,1,"Non Financial Divorce","NF_Div"
3,2020-01-17,3,"1_January",1,1,"Non Financial Divorce","NF_Div"
2,2020-01-21,3,"1_January",1,1,"Non Financial Divorce","NF_Div"
4,2020-01-22,4,"1_January",1,1,"Non Financial Divorce","NF_Div"
1,2020-01-23,4,"1_January",1,1,"Non Financial Divorce","NF_Div"
5,2020-01-24,4,"1_January",1,1,"Non Financial Divorce","NF_Div"
3,2020-01-27,4,"1_January",1,1,"Non Financial Divorce","NF_Div"
2,2020-01-28,4,"1_January",1,1,"Non Financial Divorce","NF_Div"
4,2020-01-29,5,"1_January",1,1,"Non Financial Divorce","NF_Div"
1,2020-01-30,5,"1_January",1,1,"Non Financial Divorce","NF_Div"
5,2020-01-31,5,"1_January",1,1,"Non Financial Divorce","NF_Div"
