"assocID","date","WOY","Month","ReqPer","assigned","Team","ProgramName"
12,2019-04-15,15,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
13,2019-04-15,15,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
3,2019-04-16,16,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
15,2019-04-16,16,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
8,2019-04-17,16,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
9,2019-04-17,16,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
1,2019-04-18,16,"4_April",1,1,"Non Financial Partials GP","NF_Part_GP"
11,2019-04-22,16,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
14,2019-04-22,16,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
12,2019-04-23,17,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
13,2019-04-23,17,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
7,2019-04-24,17,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
10,2019-04-24,17,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
6,2019-04-25,17,"4_April",1,1,"Non Financial Partials GP","NF_Part_GP"
2,2019-04-26,17,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
4,2019-04-26,17,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
9,2019-04-29,17,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
15,2019-04-29,17,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
8,2019-04-30,18,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
12,2019-04-30,18,"4_April",2,1,"Non Financial Partials GP","NF_Part_GP"
1,2019-05-01,18,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
11,2019-05-01,18,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
5,2019-05-02,18,"5_May",1,1,"Non Financial Partials GP","NF_Part_GP"
13,2019-05-03,18,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
14,2019-05-03,18,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
9,2019-05-06,18,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
15,2019-05-06,18,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
2,2019-05-07,19,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
10,2019-05-07,19,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
7,2019-05-08,19,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
8,2019-05-08,19,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
1,2019-05-09,19,"5_May",1,1,"Non Financial Partials GP","NF_Part_GP"
13,2019-05-10,19,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
14,2019-05-10,19,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
6,2019-05-13,19,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
15,2019-05-13,19,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
4,2019-05-14,20,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
11,2019-05-14,20,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
3,2019-05-15,20,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
12,2019-05-15,20,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
5,2019-05-16,20,"5_May",1,1,"Non Financial Partials GP","NF_Part_GP"
1,2019-05-17,20,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
8,2019-05-17,20,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
7,2019-05-20,20,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
10,2019-05-20,20,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
9,2019-05-21,21,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
13,2019-05-21,21,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
6,2019-05-22,21,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
14,2019-05-22,21,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
12,2019-05-23,21,"5_May",1,1,"Non Financial Partials GP","NF_Part_GP"
2,2019-05-24,21,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
3,2019-05-24,21,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
11,2019-05-28,22,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
15,2019-05-28,22,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
7,2019-05-29,22,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
10,2019-05-29,22,"5_May",2,1,"Non Financial Partials GP","NF_Part_GP"
1,2019-05-30,22,"5_May",1,1,"Non Financial Partials GP","NF_Part_GP"
